STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 06:00,1, , 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 07:00,4, , 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 08:00,2, , 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 09:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 10:00,1, , 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 11:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 12:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 13:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 14:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 15:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 16:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 17:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 18:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 19:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 20:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 21:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100202 22:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100203 01:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100203 02:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100203 03:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100204 23:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 00:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 01:00,1, , 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 02:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 12:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 13:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 14:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 15:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 16:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100205 22:00,0,T, 
